,City,County,State
705,Saraland,Mobile County,AL
706,Sardis,Dallas County,AL
707,Satsuma,Mobile County,AL
708,Sawyerville,Hale County,AL
709,Sayre,Jefferson County,AL
710,Scottsboro,Jackson County,AL
711,Seale,Russell County,AL
712,Section,Jackson County,AL
713,Selma,Dallas County,AL
714,Seminole,Baldwin County,AL
715,Semmes,Mobile County,AL
716,Shannon,Jefferson County,AL
717,Sheffield,Colbert County,AL
718,Shelby,Shelby County,AL
719,Shorter,Macon County,AL
720,Shorterville,Henry County,AL
721,Silas,Choctaw County,AL
722,Siluria,Shelby County,AL
723,Silverhill,Baldwin County,AL
724,Sipsey,Walker County,AL
725,Skipperville,Dale County,AL
726,Slocomb,Geneva County,AL
727,Smiths,Lee County,AL
728,Snow Hill,Wilcox County,AL
729,Somerville,Morgan County,AL
730,Spanish Fort,Baldwin County,AL
731,Spring Garden,Cherokee County,AL
732,Springville,Saint Clair County,AL
733,Sprott,Perry County,AL
734,Spruce Pine,Franklin County,AL
735,Stanton,Chilton County,AL
736,Stapleton,Baldwin County,AL
737,Steele,Saint Clair County,AL
738,Sterrett,Shelby County,AL
739,Stevenson,Jackson County,AL
740,Stockton,Baldwin County,AL
741,Sulligent,Lamar County,AL
742,Sumiton,Walker County,AL
743,Summerdale,Baldwin County,AL
744,Sunflower,Washington County,AL
745,Sweet Water,Marengo County,AL
746,Sycamore,Talladega County,AL
747,Sylacauga,Talladega County,AL
748,Sylvania,De Kalb County,AL
749,Talladega,Talladega County,AL
750,Tallassee,Elmore County,AL
751,Tanner,Limestone County,AL
752,Theodore,Mobile County,AL
753,Thomaston,Marengo County,AL
754,Thomasville,Clarke County,AL
755,Thorsby,Chilton County,AL
756,Tibbie,Washington County,AL
757,Titus,Elmore County,AL
758,Toney,Madison County,AL
759,Town Creek,Lawrence County,AL
760,Townley,Walker County,AL
761,Toxey,Choctaw County,AL
762,Trafford,Jefferson County,AL
763,Trenton,Jackson County,AL
764,Trinity,Morgan County,AL
765,Troy,Pike County,AL
766,Trussville,Jefferson County,AL
767,Tuscaloosa,Tuscaloosa County,AL
768,Tuscumbia,Colbert County,AL
769,Tuskegee,Macon County,AL
770,Tuskegee Institute,Macon County,AL
771,Tyler,Dallas County,AL
772,Union Grove,Marshall County,AL
773,Union Springs,Bullock County,AL
774,Uniontown,Perry County,AL
775,Uriah,Monroe County,AL
776,Valhermoso Springs,Morgan County,AL
777,Valley,Chambers County,AL
779,Valley Head,De Kalb County,AL
780,Vance,Tuscaloosa County,AL
