PUMA,Name,Region/City,,,,
7309,San Diego County, (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA,,,,
7310,San Diego County, (West)--San Diego City (Southwest/Central Coastal) PUMA,,,,
7311,San Diego County, (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA,,,,
7312,San Diego County, (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA,,,,
7313,San Diego County, (Central)--El Cajon & Santee Cities PUMA,,,,
7314,San Diego County, (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA,,,,
7315,San Diego County, (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA,,,,
7316,San Diego County, (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA,,,,
7317,San Diego County, (South Central)--San Diego City (Central/Mid-City) PUMA,,,,
7318,San Diego County, (South)--San Diego City (Southeast/Encanto & Skyline) PUMA,,,,
7319,San Diego County, (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA,,,
7320,San Diego County, (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA,,,,
7321,San Diego County, (Southwest)--Chula Vista (West) & National City Cities PUMA,,,,
7322,San Diego County, (South)--San Diego City (South/Otay Mesa & South Bay) PUMA,,,,
7501,San Francisco County, (North & West)--Richmond District PUMA,,,,
7502,San Francisco County, (North & East)--North Beach & Chinatown PUMA,,,,
7503,San Francisco County, (Central)--South of Market & Potrero PUMA,,,,
7504,San Francisco County, (Central)--Inner Mission & Castro PUMA,,,,
7505,San Francisco County, (Central)--Sunset District (North) PUMA,,,,
7506,San Francisco County, (South Central)--Sunset District (South) PUMA,,,,
7507,San Francisco County, (South Central)--Bayview & Hunters Point PUMA,,,,
7701,San Joaquin County, (Central)--Stockton City (North) PUMA,,,,
7702,San Joaquin County, (Central)--Stockton City (South) PUMA,,,,
7703,San Joaquin County, (South)--Tracy, Manteca & Lathrop Cities PUMA,,,
7704,San Joaquin County, (North)--Lodi, Ripon & Escalon Cities PUMA,,,
7901,San Luis Obispo County, (West)--Coastal Region PUMA,,,,
7902,San Luis Obispo County, (East)--Inland Region PUMA,,,,
8101,San Mateo County, (North Central)--Daly City, Pacifica Cities & Colma Town PUMA,,,
8102,San Mateo County, (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA,,,
8103,San Mateo County, (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA,,,
8104,San Mateo County, (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA,,,,
8105,San Mateo County, (East Central)--Redwood City, San Carlos & Belmont Cities PUMA,,,
8106,San Mateo County, (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA,,,
8301,Santa Barbara County, (Northwest)--Santa Maria City & Orcutt PUMA,,,,
