County,Year,ST,AGEP,FER,GCL,HINS1,JWMNP,JWRIP,JWTR,LANX,MAR,SCH,SCHG,SCHL,WAGP,WKHP,DIS,ESR,OC
Los Angeles County,2016,6,94,,2.0,1,,,,2.0,2,1.0,,21.0,0.0,,2,6.0,0
Los Angeles County,2015,6,42,,2.0,2,,,,1.0,1,1.0,,23.0,0.0,1.0,1,6.0,0
Los Angeles County,2014,6,42,,2.0,2,30.0,2.0,1.0,1.0,3,1.0,,21.0,150000.0,50.0,2,1.0,0
Los Angeles County,2016,6,60,,2.0,1,15.0,1.0,1.0,2.0,1,1.0,,17.0,60000.0,40.0,2,1.0,0
Los Angeles County,2015,6,64,,2.0,1,95.0,1.0,1.0,1.0,2,1.0,,15.0,120000.0,40.0,2,1.0,0
Los Angeles County,2014,6,81,,2.0,2,,,,1.0,1,1.0,,19.0,0.0,,1,6.0,0
Los Angeles County,2016,6,8,,,1,,,,1.0,5,2.0,4.0,5.0,,,2,,1
Los Angeles County,2015,6,55,,2.0,1,,,11.0,1.0,3,1.0,,21.0,73000.0,48.0,2,1.0,0
Los Angeles County,2013,6,39,2.0,2.0,1,20.0,1.0,1.0,1.0,1,1.0,,21.0,125000.0,40.0,2,1.0,0
Los Angeles County,2013,6,17,,,1,,,,1.0,5,2.0,13.0,13.0,0.0,,2,6.0,1
Los Angeles County,2014,6,31,,2.0,1,49.0,,2.0,1.0,3,1.0,,18.0,21000.0,35.0,2,1.0,0
Los Angeles County,2016,6,12,,,2,,,,2.0,5,2.0,9.0,10.0,,,2,,1
Los Angeles County,2013,6,75,,2.0,1,,,,2.0,1,1.0,,21.0,0.0,,2,6.0,0
Los Angeles County,2012,6,42,2.0,2.0,1,20.0,1.0,1.0,1.0,1,1.0,,21.0,45000.0,40.0,2,1.0,0
Los Angeles County,2016,6,16,,,1,,,,1.0,5,2.0,13.0,14.0,0.0,,2,6.0,1
Los Angeles County,2013,6,66,,1.0,2,,,,1.0,2,1.0,,16.0,0.0,,1,6.0,0
Los Angeles County,2013,6,10,,,2,,,,1.0,5,2.0,7.0,7.0,,,2,,0
Los Angeles County,2014,6,39,,2.0,1,30.0,1.0,1.0,2.0,1,1.0,,21.0,100000.0,45.0,2,1.0,0
Los Angeles County,2016,6,40,2.0,2.0,1,18.0,1.0,1.0,1.0,1,2.0,15.0,19.0,8000.0,25.0,2,1.0,0
Los Angeles County,2016,6,81,,2.0,1,,,,2.0,1,1.0,,21.0,0.0,,1,6.0,0
Los Angeles County,2014,6,67,,2.0,1,,,,2.0,1,1.0,,21.0,0.0,,2,6.0,0
Los Angeles County,2014,6,94,,2.0,1,,,,2.0,2,1.0,,20.0,0.0,,1,6.0,0
Los Angeles County,2013,6,33,,2.0,1,30.0,1.0,1.0,1.0,1,1.0,,24.0,40000.0,40.0,2,1.0,0
Los Angeles County,2013,6,11,,,1,,,,1.0,5,2.0,7.0,8.0,,,2,,1
Los Angeles County,2015,6,82,,2.0,1,,,,1.0,2,1.0,,14.0,0.0,,1,6.0,0
Los Angeles County,2012,6,63,,2.0,1,25.0,1.0,1.0,1.0,1,1.0,,20.0,28000.0,16.0,2,1.0,0
Los Angeles County,2013,6,22,2.0,,1,15.0,1.0,1.0,2.0,5,1.0,,20.0,20000.0,40.0,2,1.0,0
Los Angeles County,2013,6,8,,,1,,,,2.0,5,2.0,4.0,4.0,,,2,,1
Los Angeles County,2016,6,17,,,1,,,,2.0,5,2.0,14.0,14.0,0.0,,2,6.0,1
Los Angeles County,2014,6,38,,2.0,2,30.0,,12.0,1.0,5,1.0,,17.0,24000.0,40.0,2,1.0,0
San Diego County,2016,6,43,2.0,2.0,1,,,,2.0,1,1.0,,22.0,0.0,,2,6.0,0
San Diego County,2014,6,51,,2.0,1,10.0,1.0,1.0,2.0,1,1.0,,18.0,180000.0,55.0,2,1.0,0
San Diego County,2016,6,12,,,1,,,,2.0,5,2.0,8.0,8.0,,,2,,1
San Diego County,2015,6,60,,2.0,1,,,,1.0,1,1.0,,21.0,21700.0,40.0,1,6.0,0
San Diego County,2014,6,41,2.0,2.0,2,,,,2.0,1,1.0,,21.0,0.0,,2,6.0,0
San Diego County,2012,6,65,,2.0,1,,,11.0,1.0,1,1.0,,22.0,0.0,10.0,2,1.0,0
San Diego County,2014,6,31,2.0,2.0,1,20.0,1.0,1.0,2.0,5,1.0,,22.0,65000.0,40.0,2,1.0,0
San Diego County,2012,6,14,,,1,,,,1.0,5,2.0,11.0,11.0,,,2,,1
San Diego County,2016,6,20,,,2,,,,2.0,5,2.0,15.0,19.0,0.0,,2,6.0,0
San Diego County,2013,6,15,,,1,,,,1.0,1,2.0,12.0,12.0,0.0,,2,,0
